Job Title,,,Key Skills,Role Category,Location,Functional Area,Industry,Role
 Dot Net Developer,,, soa| sql| relationship management| server| software| jquery| service oriented architectures| quality systems| software implementation| computer science| sql server 2008| design,Programming & Design,"Ahmedabad,Ahmedabad","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Lead Business Systems Analyst,,, Analyst,,Gurgaon,Other,"Banking, Financial Services, Broking",Other
 Sr. Manager- Art in Mumbai || Opportunity @ Client side,,, Art Director,Senior Management,Mumbai,"Design , Creative , User Experience","Internet, Ecommerce",Creative Director
 Hiring for Domestic/ International Processes.contact the HR Asap,,, fresher| icse| inbound process| outbound| international bpo| uk process| bcom| communication skills| back office| cbse| web chat| chat process| Aviation| Guest Relations| Public Speaking| PR,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Sr . Manager,,, Automobile| Warehouse| Problem management| Manager Operations,,Ahmedabad,Top Management,"Recruitment, Staffing",Head/VP/GM-Operations
 Manager Learning & Development,,,vide,Senior Management,Bengaluru,"HR , Recruitment , Administration , IR","Semiconductors, Electronics",Head/VP/GM-Training & Development
 Urgent Requirement for CCE Telesales for Night Shift.,,, Outbound| Telesales| Night shift| English| process| Technical| Inbound calls| Service| Printers| Business Executive,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Vancancy for Inbound Tech Sales Executive,,, Outbound| Service| Technical support| process| Inbound calls| Domestic BPO| Bonus| Business Executive| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Infrastructure SSO Architect- Looking For Early Joiners,,, single sign - on| single sign on| IT Infrastructure| SSO,System Design/Implementation/ERP/CRM,"Gurgaon,Australia","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Solution Architect / Enterprise Architect
 Sr. Architect / Project Position: Sr. Architect / Project,,, layout| coordinating| material selection| ms| mep| photoshop| corel draw| co| monitoring| plumbing,Architectural Services,"Mumbai,Thane","Architecture , Interior Design","Real Estate, Property",Architect
Nosql (couchdb/redis/bigtable/dynamodb),,,coding|database design|test cases|analytical|nosql|cassandra,Programming & Design, Bengaluru,"IT Software - DBA , Datawarehousing",IT-Software / Software Services,Software Developer
 Immidate Opening for Voice & Accent Trainer @ Vee Technologies,,, accent| auditing| soft skills| training needs| customer service| process compliance,Training,Bengaluru (Vasanth nagar) ,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Voice & Accent Trainer
 Walk- in | Hdfc Life | We are Hiring Freshers:5th till 20th Aug@ Delhi,,, Sales| Fresher| Marketing,Retail Sales,"Delhi NCR,Agra,Aligarh,Bareilly,Faridabad,Ghaziabad,Meerut,Moradabad,Muzaffarpur","Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
 AIT Global India Private Limited is Looking For JAVA Developer.,,, Java EE| Hibernate| Core Java| Software Development| Spring Mvc| Multithreading| OOD| JDBC| Spring Boot| JSF,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
" Cloud Engineer Cloud Based IT MNC In Gurgaon , salary 7 - 8 LPA",,, Virtualization| Cloud computing| Server architecture| Windows Troubleshooting| Customer satisfaction| Manager Technology| Deployment| Management,Programming & Design,Gurgaon,IT Software - System Programming,"Real Estate, Property",Technical Architect
 Relationship Manager - Bangalore,,, business development| sales| sales marketing| marketing executive| sales executive| sales officer| sales manager| area sales manager| territory sales manager| territory manager| area manager| regional manager| regional sales manager| regional business manager,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Education, Teaching, Training",Sales Executive/Officer
 Territory Sales Manager-Passive Networking-Mumbai/Bangalore/Hyderabad,,, Sales| Sale| Networking Sales| It Solution Sales| Structured Cabling| Passive Networking| Data Center| Cable Tray| cabling| Data Center Rack| data - centre rack| LAN| UTP Cables,Corporate Sales,"Bengaluru,Hyderabad,Mumbai","Sales , Retail , Business Development","Electricals, Switchgears",Sales/Business Development Manager
 Business Development Manager,,, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Retail Sales,"Bengaluru,Mumbai,Delhi","Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Senior Manager-fundraising,,, fundraising| finance,Operations/Processes/Finance/Legal,Bengaluru,"Financial Services , Banking , Investments , Insurance","Medical, Healthcare, Hospitals",Finance/Budgeting Manager
 Bulk Hiring Travel Sales Consultants US /UK Shifts Call ASAP,,, worldspan| travel sales consultants| galileo| amadeus| gds,Voice,"Delhi NCR,Gurgaon","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 UI Developer (Frontend Developer),,, Front end| Email| PDF| MIN| UI| phone| Strategic HR| Doc| Consultancy| Recruitment,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Construction, Engineering, Cement, Metals",Software Developer
 Netsuite Technical Consultant,,, CVS| ERP| Rest| middle east| Technical| Customization| E-commerce| CRM| Open| WHO,System Design/Implementation/ERP/CRM,Mumbai,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Technical Consultant
"Java Full Stack – Technical Lead, Senior Engineer",,,Java|Angular JS|Hibernate|Core Java|Technical Leader|Technical|Javascript|Spring|JQuery|JS framework,Programming & Design, Bengaluru,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
 ADM - External Affairs &amp; CSR - Bangalore,,, senior management| ngo| key skills| Corporate Social Responsibility| Govt Liasioning| corporate pr| External Communications,CSR & Sustainability,Bengaluru,CSR & Sustainability,"Automobile, Auto Anciliary, Auto Components",CSR Manager
 Immediate Opening Asp.net MVC Developers For Mumbai (worli),,, Asp.Net MVC| entity framework| API,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Home loan,,, Loans| Direct Sales Associate| Policies| Bfsi| Finance| Sanction| WHO,Retail/Personal Banking,Kolkata,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Sales Officer
" Sr. Resident, General & Laparoscopic Surgery",,, Monitoring| Senior Resident| RAM| DNB| Dmc,Medical Professional,Delhi,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Surgeon
 Angular Developer - Fulcrum Digital,,, Angularjs| CSS| Responsive Web Design| Javascript| Bootstrap| HTML| JSON| JQuery| Web Development| Grunt,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
,,,networking|Network|Lead|Network|Lead|Network|Network|Lead|Network|networking|Lead|Leading|Network|Lead|Network|Lead|Network|Leading|Lead|Network|Network|Lead|Network|Lead|lead|Lead|Network|Network|Lead|Network|Network|Network|Lead|Networking|Lead|Lead|Network|Lead|Networking|Lead|Lead|Network|Network|Lead|Network|Networking|Lead|Lead|Lead|Lead|Network|Network|Lead,,,,,
 Devops Engineer - Tools & Automation,,, python| open source| database| Automation| java| linux| perl| Monitoring| nosql,Programming & Design,Navi Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Great Opportunity To join top MNCs in Kolkata! Grab them While it last,,, PR| international bpo| chat process| Aviation| back office| web chat| Guest Relations| Public Speaking| bcom| fresher| inbound process| outbound| uk process| icse| communication skills| cbse,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 QA Functional Testing,,, QA| Functional testing,Programming & Design,Bengaluru,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
 Sales Engineer,,, Sales Engineering,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Automobile, Auto Anciliary, Auto Components",Sales/Business Development Manager
Software Engineer - Unity Developer,,,Design Development|Software Engineering|Lighting|Computer Science|Product Quality|Automation Testing|Asset Management|GUI|Object Oriented Programming|Android,Programming & Design,Bengaluru,IT Software - Mobile,Telecom / ISP,Software Developer
 Associate Level 1 - Fund Accounting,,, NAV calculation| Fund accounting| Automation| Corporate actions| Accounting| Process improvement| Analytical| Reconciliation| Standard operating procedures| Subject Matter Expert,Accounts,Chennai,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Executive/Accountant
 Associate Principal Analyst - Network Security Research,,, Networking| Secondary research| Recruitment| Analyst| Network security| Research| IPS| Advisory| Firewall,System Design/Implementation/ERP/CRM,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst
 Training Specialist,,, Team Management| Training Need Analysis| sales training| Retail Sales| MS Office| Product Training| Training| Team Building| Skill Development| Retail Marketing| trainer| Regional Management| Competency Mapping| Training Delivery,,Gurgaon,Other,"Telcom, ISP",Other
 Urgent Opening For Field Recruiter ,,, hiring| HRIS| procurement| HR| sourcing| Recruitment| staffing,HR/ Recruitment / IR,Delhi NCR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 JAVA Developer,,, Computer science| Continuous improvement,Programming & Design,Kolkata,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer
 Urgent Openings For Pharma Freshers,,, pharmaceutical| medical| Pharma| medical billing| healthcare,Medical Professional,Pune,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Medical Representative
 Front End Developer - Wordpress/html/css/javascript,,, CSS| Wordpress| MySQL| Javascript| PHP| HTML| JQuery| SEO| Ajax| Hosting,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
Mechanical Maintenance – Btech / Diploma,,,mechanical operation|preventive maintenance|mechanical|engineeringbreak down maintenance|mechanical maintenance,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers", Hyderabad,Other,FMCG / Foods / Beverage,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers"
 PHP Developer,,, javascript| html| ajax| jquery| php mysql| smarty| api| analytical| third party| software development life cycle,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
Sr.consultant-power Distribution,,,Renewable energy|Power distribution|Power sector|Banking|Electricals,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations",Accounting / Finance,Associate/Senior Associate -(NonTechnical)
" Chinese, Spanish Language Expert (proofcheck Medical Content),",,, spanish language expert| chinese| spanish| medical,Journalist/Writer,"Delhi NCR,Bengaluru","Journalism , Editing , Content","Medical, Healthcare, Hospitals",Proof Reader
 Hiring for Tech Sales_Inbound UK/ US Voice Process,,, Sales Associate| support| Voice process| Issue| Senior| Technical| Inbound calls| Bonus| US shift| Software,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 SUPPORT Engineers (FEMALE CANDIDATES),,, MCSE| Database| Support Engineer,Back Office/Web/Transaction Processing,Hyderabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 MS SQL Developer : 0 - 2 Years (only MALE Candidates),,, SSRS| SQL Server| Stored Procedures| SQL Development| MS SQL,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Machine Learning Engineer || Gurgaon/chandigarh Location,,, GIT| Linux| Machine Learning| Python,Programming & Design,"Delhi NCR,Chandigarh","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Nurses,,, GNM| Business Executive,Medical Professional,Pune,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Internet, Ecommerce",Nurse
 Marketing Executive,,, institutions| relationships| marketing executive| customer| customers| implementation| company| site| product,Marketing,"Noida,Noida/Greater Noida","Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Direct Marketing Executive
HR Recruiter (volume Hiring),,,Recruitment|Volume Hiring|HR|BPO Hiring|Sourcing|Interviewing|Onboarding|Staffing|Orientation|Human Resource Management,HR/ Recruitment / IR, Gurgaon,"HR , Recruitment , Administration , IR",BPO / Call Centre / ITES,HR Executive
 Java Full Stack Developer,,, Java| CSS| Rest| Spring Mvc| Javascript| HTML| JPA| Spring Boot| JQuery| Web Services,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 GM Finance- Export Import Company,,, financial analysis| financial planning| taxation| VP Finance,Senior Management,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Export, Import",Head/VP/GM-Finance/Audit
 Content Writer,,, Publishing| SEO| Content management| Social media| Wordpress| Management systems| Research| Brand awareness| Web technologies| Journalism,Content Development,Bengaluru,"Journalism , Editing , Content","Advertising, PR, MR, Event Management",Content Developer
 Job Opening for Sm/avp_credit Audit_mumbai,,, Auditing| Audit Planning| Risk Assessment| Banking| Credit Risk| Credit Policy,Senior Management,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Head/VP/GM-CFO/Financial Controller
 iOS Game Developer,,, c++| development| gaming| C| software| HTML| ios| opengl| iphone| design| MySQL| JavaScript,Programming & Design,"Faridabad,Gurgaon,Mumbai","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Hiring: Executive-business Developer(seller Acquisition) On Contract,,, business development| e - commerce| sales executive| sales associate| sales officer| sales| field sales| mba fresher| fresher| new product development| channel sales,Retail Sales,Ahmedabad,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer
 Java/j2ee Application Developer,,, rest| java| sql| oop| angularjs| ui development| oracle,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer
" Accepting Application for Intership for Java, PHP, Web Design, Android",,, Javascript| PHP| HTML| Visualization| jQuery| web| Programming| Commerce| Web designing| Application| Android,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Automation-Expert-Senior-Automation-Expert,,, Process automation| Commodity Markets| Artificial Intelligence| Market intelligence| Machine learning| Corporate| Relationship| Operations| Analytics| Robotics,Programming & Design,"Gurgaon,haryana",IT Software - QA & Testing,"IT-Software, Software Services",Team Lead/Technical Lead
 Product Manager- Marketing(consumer Durables),,, IT Sales| Marketing Campaigns| Social Media| Btl| Marketing Management| Digital Marketing| Dealer Sales| Channel Partners| Communication Skills| Process Flow,Institutional Sales,Mumbai,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
 Embedded Android Engineer,,, Android| Troubleshooting| Middleware| Firmware| SOC| Linux kernel| Bluetooth| Computer science| Test scripts| Test strategy,Programming & Design,Noida,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","Semiconductors, Electronics",Software Developer
 Inbound International BPO Voice Process-US Shift,,, Outbound| Antivirus| Technical support| Voice process| Technical Support Executive| US shift| Inbound voice process| Customer Service Executive| Comp| International BPO,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Jr. Support Executives,,,vide,Other,Mumbai,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Fresher
 Sales Executive,,, Sales Executive| Cold calling| market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy,Retail Sales,"Coimbatore,Raipur,Visakhapatnam,Pune","Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Executive/Officer
 Recruitment Officer ,,, Administration| HR| Recruitment| Recruitment Executive| IR,HR/ Recruitment / IR,Bengaluru,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 Senior Principal Software Engineer,,, Web development| Analytics| Healthcare| Software design| Monitoring| JIRA| Computer science| Backend| Inside sales| Cloud,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Technical Architect
 Senior Branch Sales & Development Head - Agency - General Insurance,,, Team Management| Advisory Services| General Insurance| Sales Initiatives| Financial Products| Distributor Sales| Branch Sales| Sales Development| Motor Insurance| Marketing,General Insurance,"Delhi NCR,Mumbai,Pune,Ahmedabad,Gurgaon,Nagpur,Gujarat,Maharashtra,Nashik","Financial Services , Banking , Investments , Insurance",Insurance,Branch Manager
 Pharma/nutrition Sales Profile Opening with Hexagon Nutrition,,, clinical pharmacy| mr| sales officer| territory executive| business development| sales executive,Retail Sales,"Chennai,Bengaluru","Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Sales Executive/Officer
 Urgent job Position For SAP MDG Functional Analyst- All Over India,,,vide,System Design/Implementation/ERP/CRM,"Delhi NCR,Mumbai,Bengaluru","IT Software - Application Programming , Maintenance","IT-Software, Software Services",ERP Consultant
 Manager / Asst. Manager - Vendor Development ( Purchase ) - Gurgaon,,, sap| procurement| scm| material| sheetmetal| sheet metal| purchase| VD| vendor development| sourcing| BOP,Purchase/Material Management,Gurgaon,"Supply Chain , Logistics , Purchase , Materials","Industrial Products, Heavy Machinery",Purchase/Vendor Development Manager
 Java with AngularJS and Spring,,, Angularjs| CSS| Core Java| DOM| Computer Science| Javascript| HTML| Spring| Ajax,Programming & Design,Greater Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Manager- Admission,,, data analysis| Admissions| placements| Help Desk| access controls| Asset Management,Other,Ghaziabad,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Other
 Full Time Academic Writer for Ca/cma- Accounting & Taxation,,, academic research| accounting| taxation| ifrs| us gaap| international taxation| cost accounting| company secretary| auditing| company law| corporate law| icwa| cma,,"Delhi NCR,Delhi,Greater Noida,Gurgaon,Noida",Other,"Education, Teaching, Training",Other
 Sales Head for It Consulting Company in Gurgaon,,, marketing| bdm| sales| business development| it sales| ncr| hardware sales,Retail Sales,Gurgaon,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
 Adeeba Group is Currently hiring for US Inbound Tech Process.,,, Outbound| Night shift| Service| English| process| Technical| Technical support| Inbound calls| Voice process| Group,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Mechanical Engineer Require For Shut Down,,, RT| PT| MPI| NDT Inspection| NDT Level| Diploma| Quality Inspection| Level Ii| Inspection Engineering| Mechanical Engineering| UT,Production/Manufacturing/Maintenance,Kolkata,"Production , Manufacturing , Maintenance","Oil and Gas, Energy, Power, Infrastructure",Service/Maintenance Engineer
 CARE Specialist,,, Customer service| Healthcare| Customer relationship| Windows| Graphic designing| CAD| Illustrator| Customer satisfaction| Application software,Voice,Ahmedabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","Printing, Packaging",Associate/Senior Associate -(NonTechnical)
 Opening For Fresher,,, BPO| any graduate| Voice Process| Voice Support,Voice,Chennai,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Technical Support Associate / Technical Sales Associate-Inbound Voice ,,, Outbound| Antivirus| Comp| Technical support| Technical Support Associate| technical sales associate| Sales| Technical Associate| Voice support| Inbound calls,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Head of Maintenance,,, Equipment Maintenance| Hydraulics| Inventory Management| Management Skills| Maintenance Head| Electricals,Senior Management,"Mumbai,Pune","Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Head/VP/GM-Production/Manufacturing/Maintenance
" Tcs Hiring For Support Analyst - Bigdata(apache Hadoop,aws Certified)",,, hive| apache| itil process| hadoop| big data| aws| core java,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Job Opening For Corporate Sales (insurance Broking) Mumbai/ Bangalore,,, motor insurance| insurance sales| insurance broking| general insurance,Corporate Sales,"Mumbai,Bengaluru","Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
Spring Boot,,,SQL|Hibernate|Multithreading|OOAD|Eclipse|Business process|Outsourcing|Version control|Memory management|Control system,Programming & Design, Bengaluru,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Team Lead/Technical Lead
 Sr. Engineer Design (Mechanical),,, CATIA| AutoCAD| Pressure vessels| Mechanical| Primavera| PSCAD,Engineering Design,Pune,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer
 Senior Manager Cost & Program Management,,, Team Management| Project Execution| Program Management| Customer Experience| Data Analytics| Supply Chain| Operations Planning,Purchase/Material Management,Bengaluru,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Purchase/Vendor Development Manager
 Manager Sales Commercial Segment,,, business development management| Sales Management,Retail Sales,"Delhi NCR,Chandigarh,Mohali","Sales , Retail , Business Development","Real Estate, Property",Sales/Business Development Manager
 Outbound Sales Executive,,, Outbound Sales| tele sales| Sales Executive Activities,,Pune,Other,Other,Other
 US Tech Process,,, Technical support| Outbound| Comp| Technical| Domestic BPO| US shift| process| Inbound calls| Bonus,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
" Community Manager,",,, Operations| Inventory Management| Vendor Management| Bhm| Hospitality| Front Office| Guest Relations| Hospitality Management| hotel management,Front Office/Customer Care,Bengaluru,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager
 Software Engineer- Mobile Applications - Android,,, financial s| windows| android| mobile development,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Hardware Board Design Engineer,,, Hardware Board Design| Mixed Signal| Design Engineering,Programming & Design,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
 Corporate Head - Operations,,, environment| functional| operations| business| verbal communication| coaching| analytical skills,Senior Management,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Security, Law Enforcement",Head/VP/GM-Operations
 HR Recruitment Executive,,, Screening| Linkedin| IT Recruitment| hr recruitment| Database| recruiter| Sourcing| Interviewing| Recruitment,HR/ Recruitment / IR,Noida,"HR , Recruitment , Administration , IR","BPO, Call Centre, ITeS",Recruitment Executive
 Software Engineer Android,,, java| linux| server| development| eclipse ide| c| technical| mobile| eclipse| objective c| usability| ui| design| debugging| backend| developer| programming| applications,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sales Coordinator,,, Retail Sales| Sales Executive Activities| Revenue Generation| Inhouse Sales,Retail Sales,Ahmedabad,"Sales , Retail , Business Development","Retail, Wholesale",Counter Sales
 Ecommerce Executive,,, BPO| Customer Support| international bpo| Voice Process| International Voice| International Voice Process,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Team Lead / Dev Lead,,, J2Ee| Core Java| jQuery| ERP| Tomcat| Eclipse| Open source| Selenium| Computer science| OFBIZ,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
 Andriod Developer,,, Android Development| Android Studio| Java| Troubleshooting| API Testing| API,,"Mumbai,Mumbai Suburbs",Other,"Media, Entertainment, Internet",Other
 Physics Teacher,,, Counselor| Mentor| Trainer| Advisor| Teaching,Subject Teachers (TGT/PGT),Mumbai,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Physics Teacher
 Manager Sales &amp; Marketing,,, lead generation| branding| business development| Sales Management| market research| competitive intelligence| market analysis| Marketing,Institutional Sales,"Delhi NCR,Mumbai","Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales/Business Development Manager
 Design Engineer,,, Wireless| Automation| Simulation| Networking| Aerospace| FPGA| Coding| System verilog| Automotive| Physical design,Engineering Design,Hyderabad,"Engineering Design , R&D","IT-Software, Software Services",Design Engineer
 VERY Urgent Opening for IT Recruiter & Non IT Recruiter !! Apply NOW ,,, hr| recruitment| recruiter| hiring| head hunting| leadership| mass hiring| volume hiring| bulk hiring| team leader| senior| tl| non it| it recruitment| technical hiring| it recruiter| bfsi| engineering| manufacturing| insurance| bpo| IT,HR/ Recruitment / IR,Pune,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 Associate,,, Associate,Accounts,Bengaluru,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Accounts Executive/Accountant
 Receptionist (Female),,, Receptionist| Administration| Front Desk| Travel Arrangements| Front Office| Computer Operating,,Delhi,"Executive Assistant , Front Office , Data Entry","Banking, Financial Services, Broking",Receptionist
 Senior .NET Developer,,, javascript| html| sql server| ajax| jquery| soa| oop| english| proactive| asp net c,Programming & Design,"Ahmedabad,Ahmedabad","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sales Manager : School & Higher Academic Books,,, marketing executive| Sales| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Corporate Sales,"Bengaluru,Hyderabad,Chennai,Mumbai","Sales , Retail , Business Development",Publishing,Sales/Business Development Manager
 Supply Chain - Import Export Executive,,, QMS| Impex| Environmental Management System| Warehouse Management System| Export Import Logistics,Logistics,Chennai,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Executive
 Walk-in Drive for Java Dev/sr. Dev on 29th June at Delhi,,, Java| core java| J2EE| Hibernate| Spring| LDAP| ADFS| Json| SOAP| jQuery| REST| Javascript| Java Web Services| Java Api| Advanced Java| MVC| Web Services| Open Source| SOA| Cloud| spring integration,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Hiring for Spring Boot Developer-noida,,, spring boot| spring security| spring mvc,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
